"S.
No"	State/UT	2019	2020	Percentage State Share to All-India (2019)	"Mid-Year Projected Population (in Lakhs)
(2019)"	Mid-Year Projected Population(in Lakhs)2020	Rate of Murder (2019)+	Rate of Violent Crimes(2020)	Disputes (Total)	Property/ Land Dispute	Family Dispute	Petty Quarrel/D ispute	Money Dispute	Water Dispute	Personal Vendetta or Enmity	Gain	Child below 6 - M	Child below 6 - F	Child below 6 - Trans	Child below 6 - Total	Child 6 - M	Child 6 - F	Child 6 - Trans	Child 6 - Total	Child 12 - M	Child 12 - F	Child 12 - Trans	Child 12 - Total	"18 Years to 30 - M
Years"	"18 Years to 30 - F
Years"	"18 Years to 30 - T
Years"	30 Years to 60 Years - M	30 Years to 60 Years - F	30 Years to 60 Years - T	"60 Years & - M
Above"	"60 Years & - F
Above"	"60 Years & - T
Above"	Total Adult Victims - M	Total Adult Victims - F	Total Adult Victims - T	Total Victims (Child + Adult) - M	Total Victims (Child + Adult) - F	Total Victims (Child + Adult) - T	Unrecovered Victims of Previous Years Kidnapping & Abduction (As on 31/12/2018)* - M	Unrecovered Victims of Previous Years Kidnapping & Abduction (As on 31/12/2018)* - F	Unrecovered Victims of Previous Years Kidnapping & Abduction (As on 31/12/2018)* - Total	Persons Kidnapped & Abducted in 2019 - M	Persons Kidnapped & Abducted in 2019 - F	Persons Kidnapped & Abducted in 2019 - Total	Total Persons Kidnapped & Abducted - M	Total Persons Kidnapped & Abducted - F	Total Persons Kidnapped & Abducted - Total	Persons Recovered Alive - M	Persons Recovered Alive - F	Persons Recovered Alive - Total
1	Andhra Pradesh	870	6683	3	523.2	526.0	1.7	12.7	369	77	154	102	35	1	56	46	7	7	0	14	5	9	0	14	1	2	0	3	45	132	177	111	103	214	2	4	6	158	239	397	258	678	936	126	617	743	258	678	936	384	1295	1679	210	634	844
2	Arunachal Pradesh	60	414	0.2	15.1	15.2	4	27.2	0	0	0	0	0	0	2	0	0	1	0	1	1	1	0	2	1	1	0	2	9	19	28	16	12	28	0	0	0	25	31	56	32	95	127	12	112	124	32	95	127	44	207	251	14	75	89
3	Assam	1235	25629	4.3	344.2	347.9	3.6	73.7	562	426	95	22	19	0	300	151	3	4	0	7	1	4	0	5	4	5	0	9	408	3973	4381	254	1241	1495	3	15	18	665	5229	5894	1255	8741	9996	12141	5303	17444	1255	8741	9996	13396	14044	27440	976	4904	5880
4	Bihar	3138	51116	10.9	1201.1	1219.0	2.6	41.9	1215	782	235	11	143	44	547	519	1	0	0	1	17	11	0	28	22	18	0	40	402	2576	2978	267	1133	1400	8	2	10	677	3711	4388	1666	9056	10722	2842	6877	9719	1666	9056	10722	4508	15933	20441	1581	5653	7234
5	Chhattisgarh	913	8033	3.2	288.5	292.4	3.2	27.5	211	50	126	25	10	0	35	10	7	14	0	21	9	6	0	15	7	5	0	12	14	35	49	13	8	21	0	0	0	27	43	70	598	2111	2709	396	1365	1761	598	2111	2709	994	3476	4470	565	1951	2516
6	Goa	33	316	0.1	15.4	15.5	2.1	20.3	16	3	4	9	0	0	10	2	0	1	0	1	0	0	0	0	0	0	0	0	1	10	11	4	7	11	0	0	0	5	17	22	21	52	73	12	39	51	21	52	73	33	91	124	23	56	79
7	Gujarat	993	8337	3.4	682.5	691.7	1.5	12.1	459	41	106	228	80	4	152	16	23	26	0	49	9	10	0	19	7	3	0	10	101	106	207	122	30	152	6	1	7	229	137	366	596	1272	1868	115	511	626	596	1272	1868	711	1783	2494	598	1322	1920
8	Haryana	1137	12128	3.9	288.1	292.1	3.9	41.5	327	131	128	38	30	0	273	55	7	10	0	17	5	5	0	10	11	0	0	11	248	1332	1580	158	511	669	7	11	18	413	1854	2267	809	3369	4178	644	1052	1696	809	3369	4178	1453	4421	5874	1032	3400	4432
9	Himachal Pradesh	70	1817	0.2	73.2	73.6	1	24.7	13	2	4	5	2	0	9	6	2	0	0	2	0	0	0	0	1	0	0	1	5	35	40	3	3	6	0	6	6	8	44	52	125	353	478	81	205	286	125	353	478	206	558	764	168	510	678
10	Jammu & Kashmir	119	2821	0.4	135.3	133.4	0.9	21.1	22	8	11	3	0	0	13	1	1	2	0	3	0	1	0	1	0	0	0	0	11	531	542	3	124	127	0	0	0	14	655	669	72	902	974	24	591	615	72	902	974	96	1493	1589	73	800	873
